"","type","Source","variable","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)","leaf.char"
"1","Slope","N","Al",3.29998857358491e-05,3.29998857358491e-05,1,7.9999999998664,1.38627449175042,0.272873571893052,"Elements"
"2","Slope","P","Al",1.09885474831569e-05,1.09885474831569e-05,1,7.9999999998664,0.461611994636102,0.516044116881164,"Elements"
"3","Slope","N*P","Al",1.2091602710649e-05,1.2091602710649e-05,1,7.9999999998664,0.507949649775407,0.496286410869115,"Elements"
"4","Slope","N","Ala",40126.9911969883,40126.9911969883,1,6.00000374645209,5.10406102927088,0.0646175929586851,"Amino acids"
"5","Slope","P","Ala",47459.6019400217,47459.6019400217,1,6.00000374645209,6.03675225828929,0.0493211414901442,"Amino acids"
"6","Slope","N*P","Ala",4415.96609554096,4415.96609554096,1,6.00000374645209,0.561700735153145,0.481916032438647,"Amino acids"
"7","Slope","N","area_cm2",7.45777456632221,7.45777456632221,1,6.0000034443258,0.0455166832254345,0.838121390344234,"Physical characteristics"
"8","Slope","P","area_cm2",210.360534791962,210.360534791962,1,6.0000034443258,1.28388351513025,0.30041565576986,"Physical characteristics"
"9","Slope","N*P","area_cm2",34.5177465067594,34.5177465067594,1,6.00000344481811,0.210670531729255,0.662400055360731,"Physical characteristics"
"10","Slope","N","Arg",582969.205949237,582969.205949237,1,7.99999999983792,0.574518601112147,0.470205349224137,NA
"11","Slope","P","Arg",2007104.99829542,2007104.99829542,1,7.99999999983792,1.97801040627572,0.197235425967623,NA
"12","Slope","N*P","Arg",581867.460194643,581867.460194643,1,7.99999999983792,0.573432826043325,0.470611092261268,NA
"13","Slope","N","Asp",608.063260430725,608.063260430725,1,6.00000010828064,0.243039410674948,0.639540418927511,NA
"14","Slope","P","Asp",269.017281064617,269.017281064617,1,6.00000010828064,0.107524670056546,0.754120365918242,NA
"15","Slope","N*P","Asp",248.700597556096,248.700597556096,1,6.00000010740923,0.0994042077492482,0.763223344792411,NA
"16","Slope","N","B",5.11058205794044e-05,5.11058205794044e-05,1,7.99999999986119,0.568552421872884,0.47244247890015,"Elements"
"17","Slope","P","B",0.000181231937755763,0.000181231937755763,1,7.99999999986119,2.01620590303719,0.1934012496613,"Elements"
"18","Slope","N*P","B",0.000253202906893557,0.000253202906893557,1,7.99999999986119,2.8168831711823,0.131795161465309,"Elements"
"19","Slope","N","C",199.12052902671,199.12052902671,1,5.99999999961567,5.4432484835666,0.0583943425992269,"Elements"
"20","Slope","P","C",13.4098608158896,13.4098608158896,1,5.99999999961567,0.366577996290573,0.567056006383866,"Elements"
"21","Slope","N*P","C",3.22585191137632,3.22585191137632,1,5.99999999905325,0.0881833410680329,0.776511562263577,"Elements"
"22","Slope","N","Ca",16.405302103367,16.405302103367,1,5.99999989848047,2.87235087980979,0.141048255708639,"Elements"
"23","Slope","P","Ca",2.21155722749888,2.21155722749888,1,5.99999989848042,0.387214347418346,0.556659934960105,"Elements"
"24","Slope","N*P","Ca",7.2614989085038,7.2614989085038,1,5.99999989847396,1.27139217840419,0.302567801265618,"Elements"
"25","Slope","N","carot",9.49147534485034e-05,9.49147534485034e-05,1,6.00000001259925,0.016581222791476,0.901749071426384,"Photosynthetic pigments"
"26","Slope","P","carot",0.0101134288019507,0.0101134288019507,1,6.00000001259925,1.76677502767637,0.232088034273597,"Photosynthetic pigments"
"27","Slope","N*P","carot",0.00570329817239536,0.00570329817239536,1,6.00000001267806,0.99634307846581,0.356735192434285,"Photosynthetic pigments"
"28","Slope","N","Chl_A",0.201641546288943,0.201641546288943,1,6.00000023087343,1.67158323434345,0.243595858267751,NA
"29","Slope","P","Chl_A",1.55574047886076,1.55574047886076,1,6.00000023087343,12.8968942626865,0.0114869613940827,NA
"30","Slope","N*P","Chl_A",0.398853536459427,0.398853536459427,1,6.00000023112286,3.30644600170243,0.11888955305159,NA
"31","Slope","N","Chl_B",0.0937146464842702,0.0937146464842702,1,6.00000000422811,3.67958816412524,0.103520551557398,NA
"32","Slope","P","Chl_B",0.316715451914234,0.316715451914234,1,6.00000000422811,12.4354353559323,0.0124219197403642,NA
"33","Slope","N*P","Chl_B",0.0920598642663384,0.0920598642663384,1,6.00000000437083,3.61461521387964,0.105991248714877,NA
"34","Slope","N","Chl_R",0.0371120651775161,0.0371120651775161,1,7.99999999997096,1.235551211132,0.298616322649367,"Photosynthetic pigments"
"35","Slope","P","Chl_R",0.0554572110009657,0.0554572110009657,1,7.99999999997096,1.84630588167209,0.211282240147081,"Photosynthetic pigments"
"36","Slope","N*P","Chl_R",0.0742805505987911,0.0742805505987911,1,7.99999999997096,2.47298078985619,0.154462611616723,"Photosynthetic pigments"
"37","Slope","N","Fe",3.72567349057499e-05,3.72567349057499e-05,1,8.00000000005658,0.271498502960884,0.61643994057416,NA
"38","Slope","P","Fe",9.8425042316974e-05,9.8425042316974e-05,1,8.00000000005658,0.717246202881723,0.42165938254737,NA
"39","Slope","N*P","Fe",1.18178392560394e-07,1.18178392560394e-07,1,8.00000000005658,0.000861193465923362,0.977307449486405,NA
"40","Slope","N","GABA",205791.715414292,205791.715414292,1,5.99999999734444,5.53661663664718,0.0568248451774739,"Amino acids"
"41","Slope","P","GABA",143258.065169755,143258.065169755,1,5.99999999734444,3.85421242714257,0.0972607337799028,"Amino acids"
"42","Slope","N*P","GABA",1.28905561892047,1.28905561892047,1,5.99999999738708,3.46807293525431e-05,0.995492177266958,"Amino acids"
